zipcode,2013,2014,2015,2016,2017,2018,2019,2020,2021
10000,42125,62199,78747,89297,97061,95628,86013,61181,87637
10001,218500,365937,443385,559017,628954,597031,773045,588382,786608
10002,253855,444436,496160,635495,700116,739473,909228,844858,1083712
10003,394144,670013,808740,889158,1000665,995548,1145555,915826,1158603
10004,24324,52829,70094,83484,100363,102536,116299,92668,104364
10005,59347,83555,93955,108824,119380,127828,150075,121642,138223
10007,39208,52853,71056,75243,93270,101620,106485,75724,86863
10009,289275,483456,554900,670709,796528,860015,1146445,992659,1139921
10010,126779,219871,249677,310748,364326,415853,471071,393684,436056
10011,339834,495334,604927,704583,743698,714381,932933,752408,984307
10012,188116,331520,364967,458274,465473,431040,484491,411117,538672
10013,86922,148545,175133,231936,323581,329315,375017,300688,414094
10014,250889,400131,509502,615784,600679,574247,776245,684138,796909
10016,174072,279002,281837,334334,333530,360846,492480,420469,512790
10017,102188,184610,214381,311343,324287,379806,461460,373726,450577
10018,145436,268291,295079,289042,377108,378509,459382,406263,545248
10019,200363,323920,370895,439989,483148,546042,718088,658976,821182
10021,0,0,32355,127953,148175,152501,175388,201395,267976
10022,96005,142655,172942,235217,224614,215569,328051,338507,384859
10023,0,0,79700,304101,383825,412104,445875,443305,566208
10024,0,0,47728,186573,206036,260940,268664,345818,415726
10025,0,0,11493,112595,252496,289834,324234,434539,607636
10026,0,0,0,14119,54095,91141,117872,167016,209678
10027,0,0,0,0,21586,107820,133662,226028,272601
10028,0,0,41197,144819,138029,168050,162312,242806,302111
10029,0,0,18191,85649,146636,202891,258483,346245,393737
10030,0,0,0,0,0,0,0,46734,66833
10031,0,0,0,0,0,0,0,50272,80130
10032,0,0,0,0,0,0,0,52048,75407
10033,0,0,0,0,0,0,0,18861,45288
10034,0,0,0,0,0,0,0,0,31574
10035,0,0,0,57980,86930,116602,191940,230547,284688
10036,160811,250255,286925,389836,429475,409739,496943,370277,467335
10037,0,0,0,251572,287295,328692,427743,347757,389133
10038,90481,135374,147300,183966,192703,179146,239313,239569,266578
10039,0,0,0,0,0,5820,7959,39738,71501
10040,0,0,0,0,0,0,0,17308,25874
10044,0,0,0,0,0,0,0,25154,40313
10045,37343,54189,60844,74600,85856,94085,105376,86644,101856
10055,13482,14987,19264,26244,27301,35546,37063,26452,35676
10065,0,0,18336,56031,76294,74179,92453,125314,154695
10069,0,0,4375,27924,28501,41623,63398,72314,94434
10075,0,0,31660,157367,148333,149958,194340,218367,197239
10107,61617,81062,113088,146123,192381,206022,230890,196986,213305
10111,0,0,0,0,0,0,589,25237,54661
10115,0,0,0,0,8074,28386,30298,28610,42659
10120,0,0,0,0,0,0,20269,54028,76668
10128,0,0,0,66700,176663,174703,214219,268276,282464
10129,0,0,0,16447,36589,41045,49817,63420,95232
10152,13911,17012,19170,36421,1198,0,4146,29896,35858
10153,26786,42058,52030,57134,81685,78554,77736,51290,75733
10155,0,0,9799,10251,9735,10599,12637,13498,14237
10275,16358,22922,28172,47029,47210,44489,45611,33223,42606
10280,34364,50833,64732,85903,91690,88344,93278,99776,103657
10281,0,0,0,0,0,0,0,63663,95507
10282,98091,153449,165404,220128,258576,253923,303297,265501,313305
10451,0,0,0,0,0,0,0,30263,73631
10452,0,0,0,0,0,0,0,11985,35172
10453,0,0,0,0,0,0,0,1593,3077
10454,0,0,0,0,0,0,0,37372,67475
10455,0,0,0,0,0,0,0,23723,49371
10456,0,0,0,0,0,0,0,16193,40706
10457,0,0,0,0,0,0,0,2668,5878
10459,0,0,0,0,0,0,0,3735,13301
10460,0,0,0,0,0,0,0,709,1246
10474,0,0,0,0,0,0,0,359,628
11101,0,0,20910,58760,91291,191306,256411,315595,356268
11102,0,0,0,0,7215,40367,40297,58017,78435
11103,0,0,0,0,2116,16712,25832,38449,34455
11105,0,0,0,0,5758,39772,48871,69479,58350
11106,0,0,0,0,15300,78892,96981,138595,163588
11109,0,0,10341,35924,45435,51385,70032,80162,95886
11201,98393,122536,147434,231101,343521,417176,508500,459304,539270
11205,28577,44637,49262,65516,85021,87924,108197,110515,163129
11206,0,0,11547,38969,63791,64177,112222,171342,247525
11207,6945,11123,20982,45287,85949,94256,114504,126969,182785
11208,0,0,0,0,30387,30576,36081,34500,46144
11211,24117,36568,86406,209221,288134,316297,434058,459026,654024
11213,8299,11396,13503,20506,41630,71458,82564,80390,95190
11215,0,0,0,67817,232096,263032,292150,296671,416184
11216,3793,5234,10890,34818,53433,73401,93067,120347,171382
11217,3041,5438,5844,72225,200927,215091,243807,222346,315916
11221,0,0,0,0,147155,167217,209803,310252,440366
11222,0,0,31205,120225,172371,202634,255802,268635,363966
11225,1481,2883,2893,4376,9481,34863,45352,80658,88954
11227,2440,3691,4683,5701,95,9866,16923,19566,25135
11231,20265,28814,34248,107278,271195,307996,337774,284171,364599
11232,0,0,2158,6463,11167,18020,25047,37832,32926
11233,4758,6481,11834,24575,35325,35988,40547,62563,82353
11237,2002,3330,7705,18644,27933,41124,85817,164684,229435
11238,33088,50944,56762,83753,139347,258303,300429,284002,410964
11249,14894,22097,62558,150948,195280,247790,291133,298861,380044
11251,4036,6602,7428,9961,12026,13262,18434,29625,36795
11369,0,0,0,0,3493,17083,20571,31042,36287
11373,0,0,0,0,796,3700,4750,5918,6100
11385,0,0,0,0,0,0,8285,57303,79947
11415,0,0,0,0,0,0,158,1265,2831